Date,Open,High,Low,Close,Volume,Adj Close
07/30/09,1986.21,2009.81,1980.08,1984.3,2525670000,1984.3
07/29/09,1965.32,1970.65,1953.36,1967.76,2072650000,1967.76
07/28/09,1957.26,1978.43,1947.89,1975.51,2206850000,1975.51
07/27/09,1964.62,1971.38,1946.95,1967.89,2141690000,1967.89
07/24/09,1943.23,1966.26,1937.64,1965.96,2232920000,1965.96
07/23/09,1924.96,1979.34,1924.77,1973.6,3021430000,1973.6
07/22/09,1908.83,1934.61,1907.25,1926.38,2306340000,1926.38
07/21/09,1917.39,1917.46,1892.17,1916.2,2205230000,1916.2
07/20/09,1896.99,1909.89,1890,1909.29,2046350000,1909.29
07/17/09,1880.31,1887.34,1873.81,1886.61,1876760000,1886.61
07/16/09,1856.05,1887.89,1854.7,1885.03,2072730000,1885.03
07/15/09,1827.61,1863.29,1824.31,1862.9,2543340000,1862.9
07/14/09,1790.7,1800.73,1782.85,1799.73,1856910000,1799.73
07/13/09,1761.03,1793.21,1736.95,1793.21,1899410000,1793.21
07/10/09,1744.61,1764.11,1738.26,1756.03,1658010000,1756.03
07/09/09,1756.97,1763.63,1747.44,1752.55,1868280000,1752.55
07/08/09,1756,1757.67,1727.05,1747.17,2467520000,1747.17
07/07/09,1787.44,1788.97,1745.38,1746.17,2027240000,1746.17
07/06/09,1783.5,1793.42,1770.11,1787.4,1970530000,1787.4
07/02/09,1823.69,1823.91,1795.95,1796.52,1923070000,1796.52
07/01/09,1846.12,1861.62,1843.79,1845.72,1971050000,1845.72
06/30/09,1845.47,1854.69,1824.95,1835.04,2044980000,1835.04
06/29/09,1842.09,1854.09,1825.03,1844.06,1981450000,1844.06
06/26/09,1819.16,1840.98,1816.84,1838.22,3989940000,1838.22
06/25/09,1783.19,1829.67,1779.18,1829.54,2227980000,1829.54
06/24/09,1780.88,1807.08,1780.25,1792.34,2150570000,1792.34
06/23/09,1771.42,1777.58,1753.78,1764.92,2152480000,1764.92
06/22/09,1809.53,1810.58,1765.85,1766.19,2318970000,1766.19
06/19/09,1824.99,1837.58,1817.07,1827.47,2864420000,1827.47
06/18/09,1809.04,1816.6,1795.74,1807.72,2067830000,1807.72
06/17/09,1799.22,1824.2,1785.34,1808.06,2523180000,1808.06
06/16/09,1825.2,1831.18,1795.55,1796.18,2227700000,1796.18
06/15/09,1837.94,1838.33,1803.07,1816.38,2154700000,1816.38
06/12/09,1852.43,1858.8,1833.39,1858.8,2013560000,1858.8
06/11/09,1854.75,1879.92,1854.75,1862.37,2463860000,1862.37
06/10/09,1872.01,1872.7,1827.61,1853.08,2347870000,1853.08
06/09/09,1850.48,1869.52,1846.26,1860.13,2140370000,1860.13
06/08/09,1836.87,1857.8,1818.59,1842.4,1972980000,1842.4
06/05/09,1864.02,1865.95,1834.63,1849.42,2310590000,1849.42
06/04/09,1829.84,1850.04,1825.62,1850.02,2468840000,1850.02
06/03/09,1825.6,1828.09,1806.51,1825.92,2246950000,1825.92
06/02/09,1821.22,1846.65,1815.83,1836.8,2611690000,1836.8
06/01/09,1796.09,1833.18,1792.8,1828.68,2600340000,1828.68
05/29/09,1756.26,1774.33,1742.99,1774.33,2465310000,1774.33
05/28/09,1744.23,1754.95,1714.48,1751.79,2189090000,1751.79
05/27/09,1745.56,1768.22,1728.96,1731.08,2118100000,1731.08
05/26/09,1677.72,1751.47,1677.54,1750.43,2095650000,1750.43
05/22/09,1702.06,1711.98,1682.24,1692.01,1619520000,1692.01
05/21/09,1709.83,1719.58,1677.77,1695.25,2206610000,1695.25
05/20/09,1743.6,1767.47,1722.32,1727.84,2261780000,1727.84
05/19/09,1727,1750.05,1719.92,1734.54,2076390000,1734.54
05/18/09,1696.82,1732.36,1689.55,1732.36,2023250000,1732.36
05/15/09,1687.49,1703.45,1676.56,1680.14,2057500000,1680.14
05/14/09,1672.48,1701.22,1667.94,1689.21,2162620000,1689.21
05/13/09,1696.8,1697.76,1664.19,1664.19,2356410000,1664.19
05/12/09,1742.86,1743.52,1695.87,1715.92,2475150000,1715.92
05/11/09,1713.65,1747.97,1705.87,1731.24,2543450000,1731.24
05/08/09,1733.5,1747.41,1711.01,1739,3206310000,1739
05/07/09,1772.1,1773.13,1702.54,1716.24,3299360000,1716.24
05/06/09,1768.69,1770.29,1730.97,1759.1,2966510000,1759.1
05/05/09,1757.26,1759.42,1735.37,1754.12,2538290000,1754.12
05/04/09,1733.71,1763.56,1729.31,1763.56,2524800000,1763.56
05/01/09,1719.29,1728.1,1703.52,1719.2,2165930000,1719.2
04/30/09,1732.47,1753.61,1710.07,1717.3,2871300000,1717.3
04/29/09,1688.66,1726.69,1687.29,1711.94,2385720000,1711.94
04/28/09,1668.26,1690.06,1661.4,1673.81,2080410000,1673.81
